zone,unit,variable,u,u_rule,n_exc,lambda,xi,xi_CI,sigma,ks_D,ks_p,obs_max,exceeds_50yr,RL_2,CIlo_2,CIhi_2,RL_5,CIlo_5,CIhi_5,RL_10,CIlo_10,CIhi_10,RL_20,CIlo_20,CIhi_20,RL_50,CIlo_50,CIhi_50
Coastal,Accra,EHF intensity,0.786,q0.75,29,0.468,0.1,"[0.10, 0.47]",0.373,0.125,0.705,1.7,False,,,,1.12,1.01,1.29,1.41,1.22,1.75,1.72,1.46,2.24,2.17,1.79,3.03
Coastal,Accra,Heatwave duration,4.0,q0.50,52,0.839,0.1,"[0.10, 0.37]",6.846,0.135,0.274,34.0,False,7.63,6.57,9.24,14.55,12.03,19.23,20.22,16.69,27.41,26.3,21.7,36.77,35.01,29.0,51.16
Coastal,Akatsi,EHF intensity,1.217,q0.75,25,0.403,0.363,"[0.10, 0.50]",0.453,0.125,0.788,4.44,True,,,,1.58,1.44,1.88,2.04,1.71,2.63,2.63,2.04,3.51,3.68,2.56,5.21
Coastal,Akatsi,Heatwave duration,5.0,q0.50,50,0.806,0.1,"[0.10, 0.38]",6.72,0.137,0.276,37.0,True,8.29,7.36,9.69,15.05,12.77,19.33,20.6,17.4,27.31,26.54,22.31,36.71,35.06,29.4,51.21
Forest,Akim_Oda,EHF intensity,2.054,q0.75,26,0.419,0.1,"[0.10, 0.50]",1.089,0.1,0.936,6.2,True,,,,2.89,2.59,3.35,3.73,3.18,4.67,4.64,3.86,6.11,5.93,4.8,8.53
Forest,Akim_Oda,Heatwave duration,5.0,q0.50,46,0.742,0.1,"[0.10, 0.39]",6.457,0.142,0.28,45.0,True,7.6,6.8,8.82,14.04,11.76,18.29,19.33,16.18,26.12,24.99,20.8,34.77,33.1,27.48,48.54
Guinea Savannah,Bole,EHF intensity,2.854,q0.75,27,0.435,0.1,"[0.10, 0.48]",2.141,0.119,0.798,9.5,False,,,,4.59,3.97,5.52,6.25,5.12,8.08,8.03,6.47,10.96,10.58,8.46,15.56
Guinea Savannah,Bole,Heatwave duration,5.0,q0.50,45,0.726,0.1,"[0.10, 0.39]",6.422,0.143,0.287,29.0,False,7.44,6.67,8.57,13.84,11.64,17.93,19.08,15.92,25.61,24.7,20.63,34.38,32.75,27.17,47.49
Forest,Ho,EHF intensity,1.706,q0.75,24,0.387,0.472,"[0.10, 0.50]",0.555,0.126,0.799,6.44,True,,,,2.14,1.95,2.56,2.76,2.3,3.61,3.62,2.75,5.03,5.29,3.35,7.67
Forest,Ho,Heatwave duration,5.0,q0.50,43,0.694,0.1,"[0.10, 0.40]",6.953,0.19,0.077,38.0,True,7.31,6.56,8.41,14.21,11.61,18.58,19.86,15.91,26.96,25.92,20.94,36.34,34.6,28.02,51.61
Guinea Savannah,Kete_Krachi,EHF intensity,1.353,q0.75,25,0.403,0.1,"[0.10, 0.50]",1.296,0.138,0.681,6.4,True,,,,2.29,1.94,2.84,3.29,2.63,4.41,4.36,3.41,6.11,5.89,4.58,8.9
