zone,unit,variable,u,u_rule,n_exc,lambda,xi,xi_CI,sigma,ks_D,ks_p,obs_max,exceeds_50yr,RL_2,CIlo_2,CIhi_2,RL_5,CIlo_5,CIhi_5,RL_10,CIlo_10,CIhi_10,RL_20,CIlo_20,CIhi_20,RL_50,CIlo_50,CIhi_50
Sudan Savannah,Sudan Savannah,EHF intensity,3.003,q0.75,58,0.935,0.1,"[0.10, 0.35]",2.344,0.086,0.754,16.54,True,4.52,4.15,5.13,6.91,6.14,8.51,8.88,7.85,11.35,10.98,9.68,14.48,14.0,12.23,19.48
Sudan Savannah,Sudan Savannah,Heatwave duration,5.0,q0.50,101,1.629,0.1,"[0.10, 0.29]",5.614,0.162,0.009,33.0,False,12.04,10.91,14.49,18.1,16.42,22.66,23.07,20.91,29.39,28.4,25.96,37.05,36.03,33.03,49.61
Guinea Savannah,Guinea Savannah,EHF intensity,2.759,q0.75,129,2.081,0.1,"[0.10, 0.27]",1.931,0.056,0.792,12.91,False,5.72,5.37,6.63,7.86,7.39,9.42,9.61,9.04,11.75,11.49,10.77,14.42,14.18,13.18,19.06
Guinea Savannah,Guinea Savannah,Heatwave duration,5.0,q0.50,236,3.806,0.109,"[-0.04, 0.24]",5.659,0.161,0.0,49.0,True,17.85,16.16,20.92,24.65,21.54,29.46,30.26,25.47,36.86,36.31,29.28,45.32,45.04,34.06,59.79
Transition,Transition,EHF intensity,2.451,q0.75,50,0.806,0.1,"[0.10, 0.38]",1.335,0.118,0.453,8.2,False,3.1,2.92,3.38,4.45,3.99,5.3,5.55,4.91,6.88,6.73,5.89,8.75,8.42,7.3,11.63
Transition,Transition,Heatwave duration,5.0,q0.50,85,1.371,0.1,"[0.10, 0.31]",7.176,0.129,0.107,45.0,True,12.62,11.08,15.51,20.23,17.81,26.04,26.48,23.59,34.66,33.17,29.4,44.54,42.76,37.87,59.69
Forest,Forest,EHF intensity,2.109,q0.75,98,1.581,0.1,"[0.10, 0.30]",1.329,0.068,0.737,9.84,True,3.73,3.46,4.29,5.16,4.79,6.22,6.33,5.9,7.86,7.59,7.09,9.69,9.39,8.73,12.63
Forest,Forest,Heatwave duration,5.0,q0.50,169,2.726,0.1,"[0.10, 0.25]",6.432,0.143,0.002,45.0,False,16.89,15.84,20.63,24.2,22.92,30.27,30.19,28.53,38.28,36.62,34.62,47.18,45.83,43.33,61.78
Coastal,Coastal,EHF intensity,0.979,q0.75,81,1.306,0.236,"[0.10, 0.49]",0.349,0.077,0.698,4.44,True,1.35,1.27,1.53,1.8,1.63,2.12,2.21,1.96,2.68,2.69,2.3,3.45,3.46,2.77,5.01
Coastal,Coastal,Heatwave duration,5.0,q0.50,141,2.274,0.1,"[0.10, 0.26]",6.78,0.136,0.01,41.0,False,16.09,14.95,19.52,23.66,22.09,29.46,29.86,27.77,37.85,36.52,33.89,47.19,46.05,42.62,62.65
