zone,station,year,doy_start,duration,mean_intensity,peak_intensity
Sudan Savannah,Navrongo,1964,74,3,1.6174712962963342,2.371741666666722
Sudan Savannah,Navrongo,1970,92,7,0.3878690476190754,0.7941111111111491
Sudan Savannah,Navrongo,1971,72,3,0.8374814814815409,1.571638888888946
Sudan Savannah,Navrongo,1971,76,3,0.5190648148148697,1.288777777777855
Sudan Savannah,Navrongo,1972,92,3,0.3071851851852084,0.89911111111115
Sudan Savannah,Navrongo,1973,78,7,2.59195634920641,4.243600000000083
Sudan Savannah,Navrongo,1973,102,4,0.26250000000001705,0.38333333333334707
Sudan Savannah,Navrongo,1977,103,7,1.068837301587352,1.9899444444445271
Sudan Savannah,Navrongo,1977,116,4,1.1334444444444858,1.7708055555556077
Sudan Savannah,Navrongo,1979,73,11,2.0377601010101674,4.940416666666768
Sudan Savannah,Navrongo,1979,88,4,0.7816180555555879,1.1621666666667014
Sudan Savannah,Navrongo,1979,101,6,1.4930833333333773,1.9943055555555995
Sudan Savannah,Navrongo,1979,111,6,1.1169444444444716,2.6700000000000483
Sudan Savannah,Navrongo,1980,80,3,1.659129629629689,3.165444444444525
Sudan Savannah,Navrongo,1980,85,3,0.3647962962963287,0.5370000000000392
Sudan Savannah,Navrongo,1980,98,6,1.5560092592593031,2.738000000000064
Sudan Savannah,Navrongo,1980,109,4,0.06666666666668242,0.18333333333335133
Sudan Savannah,Navrongo,1981,81,4,0.482548611111157,1.2901111111111614
Sudan Savannah,Navrongo,1981,95,13,1.8784209401709901,5.223444444444537
Sudan Savannah,Navrongo,1982,94,3,0.8231666666667102,1.006250000000043
Sudan Savannah,Navrongo,1983,84,7,2.7826388888889446,6.459583333333428
Sudan Savannah,Navrongo,1983,97,20,1.6586750000000392,2.997222222222278
Sudan Savannah,Navrongo,1983,127,3,0.5555555555555713,0.6500000000000128
Sudan Savannah,Navrongo,1984,93,7,1.1031269841270386,1.8050000000000717
Sudan Savannah,Navrongo,1985,67,6,2.1708888888889732,5.020000000000097
Sudan Savannah,Navrongo,1985,81,3,0.9381851851852284,1.3166666666667193
Sudan Savannah,Navrongo,1985,86,4,0.6332500000000311,1.6340000000000485
Sudan Savannah,Navrongo,1985,118,4,0.7352013888889268,1.1537500000000547
Sudan Savannah,Navrongo,1986,93,7,1.4727142857143547,2.633277777777881
Sudan Savannah,Navrongo,1986,105,4,1.6031944444445112,3.405111111111205
Sudan Savannah,Navrongo,1986,121,3,0.3681388888889214,0.5710833333333759
Sudan Savannah,Navrongo,1987,105,6,0.8000370370370878,2.112500000000081
